Rasse;GebJahrUnten;GebJahrOben;Code;Selektionspfad
OB;1988;2017;114;SC
OB;1985;2014;114;SB
OB;2016;2100;115;DC
OB;2013;2100;115;DB
OB;2018;2100;116;SC
OB;2015;2100;116;SB
SF;1900;1980;117;DC
SF;1900;1977;117;DB
SF;1900;1982;118;SC
SF;1900;1979;118;SB
SF;1981;1985;119;DC
SF;1978;1982;119;DB
SF;1983;1987;120;SC
SF;1980;1984;120;SB
SF;1986;1990;121;DC
SF;1983;1987;121;DB
SF;1988;1992;122;SC
SF;1985;1989;122;SB
SF;1991;1995;123;DC
SF;1988;1992;123;DB
SF;1993;1997;124;SC
SF;1990;1994;124;SB
SF;1996;2000;125;DC
SF;1993;1997;125;DB
SF;1998;2002;126;SC
SF;1995;1999;126;SB
SF;2001;2005;127;DC
SF;1998;2002;127;DB
SF;2003;2007;128;SC
SF;2000;2004;128;SB
SF;2006;2010;129;DC
SF;2003;2007;129;DB
SF;2008;2012;130;SC
SF;2005;2009;130;SB
SF;2011;2015;131;DC
SF;2008;2012;131;DB
SF;2013;2017;132;SC
SF;2010;2014;132;SB
SF;2016;2020;133;DC
SF;2013;2017;133;DB
SF;2018;2022;134;SC
SF;2015;2019;134;SB
SF;2021;2100;135;DC
SF;2018;2100;135;DB
SF;2023;2100;136;SC
SF;2020;2100;136;SB
SI;1900;1979;137;DC
SI;1900;1976;137;DB
SI;1900;1981;138;SC
SI;1900;1978;138;SB
SI;1980;1984;139;DC
SI;1977;1981;139;DB
SI;1982;1986;140;SC
SI;1979;1983;140;SB
SI;1985;1989;141;DC
SI;1982;1986;141;DB
SI;1987;1991;142;SC
SI;1984;1988;142;SB
SI;1990;1997;143;DC
SI;1987;1994;143;DB
SI;1992;1999;144;SC
SI;1989;1996;144;SB
SI;1998;2004;145;DC
SI;1995;2001;145;DB
SI;2000;2006;146;SC
SI;1997;2003;146;SB
SI;2005;2009;147;DC
SI;2002;2006;147;DB
SI;2007;2011;148;SC
SI;2004;2008;148;SB
SI;2010;2014;149;DC
SI;2007;2011;149;DB
SI;2012;2016;150;SC
SI;2009;2013;150;SB
SI;2015;2019;151;DC
SI;2012;2016;151;DB
SI;2017;2021;152;SC
SI;2014;2018;152;SB
SI;2020;2100;153;DC
SI;2017;2100;153;DB
SI;2022;2100;154;SC
SI;2019;2100;154;SB
UF;1900;2002;155;DC
UF;1900;1999;155;DB
UF;1900;2004;156;SC
UF;1900;2001;156;SB
UF;2003;2017;157;DC
UF;2000;2014;157;DB
UF;2005;2019;158;SC
UF;2002;2016;158;SB
UF;2018;2100;159;DC
UF;2015;2100;159;DB
UF;2020;2100;160;SC
UF;2017;2100;160;SB
UM;1900;2001;161;DC
UM;1900;1998;161;DB
UM;1900;2003;162;SC
UM;1900;2000;162;SB
UM;2002;2006;163;DC
UM;1999;2003;163;DB
UM;2004;2008;164;SC
UM;2001;2005;164;SB
UM;2007;2011;165;DC
UM;2004;2008;165;DB
UM;2009;2013;166;SC
UM;2006;2010;166;SB
UM;2012;2016;167;DC
UM;2009;2013;167;DB
UM;2014;2018;168;SC
UM;2011;2015;168;SB
UM;2017;2100;169;DC
UM;2014;2100;169;DB
UM;2019;2100;170;SC
UM;2016;2100;170;SB
XX;1900;1991;171;DC
XX;1900;1988;171;DB
XX;1900;1993;172;SC
XX;1900;1990;172;SB
XX;1992;1996;173;DC
XX;1989;1993;173;DB
XX;1994;1998;174;SC
XX;1991;1995;174;SB
XX;1997;2001;175;DC
XX;1994;1998;175;DB
XX;1999;2003;176;SC
XX;1996;2000;176;SB
XX;2002;2006;177;DC
XX;1999;2003;177;DB
XX;2004;2008;178;SC
XX;2001;2005;178;SB
XX;2007;2011;179;DC
XX;2004;2008;179;DB
XX;2009;2013;180;SC
XX;2006;2010;180;SB
XX;2012;2016;181;DC
XX;2009;2013;181;DB
XX;2014;2018;182;SC
XX;2011;2015;182;SB
XX;2017;2021;183;DC
XX;2014;2018;183;DB
XX;2019;2023;184;SC
XX;2016;2020;184;SB
XX;2022;2100;185;DC
XX;2019;2100;185;DB
XX;2024;2100;186;SC
XX;2021;2100;186;SB
95;1900;2100;187;DC
95;1900;2100;187;DB
AB;1900;2100;187;DC
AB;1900;2100;187;DB
AU;1900;2100;187;DC
AU;1900;2100;187;DB
AY;1900;2100;187;DC
AY;1900;2100;187;DB
BB;1900;2100;187;DC
BB;1900;2100;187;DB
BD;1900;2100;187;DC
BD;1900;2100;187;DB
BF;1900;2100;187;DC
BF;1900;2100;187;DB
BS;1900;2100;187;DC
BS;1900;2100;187;DB
BZ;1900;2100;187;DC
BZ;1900;2100;187;DB
CH;1900;2100;187;DC
CH;1900;2100;187;DB
DA;1900;2100;187;DC
DA;1900;2100;187;DB
DR;1900;2100;187;DC
DR;1900;2100;187;DB
EV;1900;2100;187;DC
EV;1900;2100;187;DB
GA;1900;2100;187;DC
GA;1900;2100;187;DB
GC;1900;2100;187;DC
GC;1900;2100;187;DB
GU;1900;2100;187;DC
GU;1900;2100;187;DB
GV;1900;2100;187;DC
GV;1900;2100;187;DB
HH;1900;2100;187;DC
HH;1900;2100;187;DB
HI;1900;2100;187;DC
HI;1900;2100;187;DB
HR;1900;2100;187;DC
HR;1900;2100;187;DB
HW;1900;2100;187;DC
HW;1900;2100;187;DB
KC;1900;2100;187;DC
KC;1900;2100;187;DB
LG;1900;2100;187;DC
LG;1900;2100;187;DB
MA;1900;2100;187;DC
MA;1900;2100;187;DB
MR;1900;2100;187;DC
MR;1900;2100;187;DB
MW;1900;2100;187;DC
MW;1900;2100;187;DB
NO;1900;2100;187;DC
NO;1900;2100;187;DB
NR;1900;2100;187;DC
NR;1900;2100;187;DB
PA;1900;2100;187;DC
PA;1900;2100;187;DB
PI;1900;2100;187;DC
PI;1900;2100;187;DB
PS;1900;2100;187;DC
PS;1900;2100;187;DB
PZ;1900;2100;187;DC
PZ;1900;2100;187;DB
RD;1900;2100;187;DC
RD;1900;2100;187;DB
RE;1900;2100;187;DC
RE;1900;2100;187;DB
RH;1900;2100;187;DC
RH;1900;2100;187;DB
SH;1900;2100;187;DC
SH;1900;2100;187;DB
SL;1900;2100;187;DC
SL;1900;2100;187;DB
SR;1900;2100;187;DC
SR;1900;2100;187;DB
TA;1900;2100;187;DC
TA;1900;2100;187;DB
TL;1900;2100;187;DC
TL;1900;2100;187;DB
